Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
IMEI;METAR;Date/Time (UTC);Unit Type;DataType;Latitude;Longitude;Elevation (ft);Tilt (°);Orientation (°);Wind Direction (°);Wind Speed (kt);Peak Wind Direction (°);Peak Wind Speed (kt);Visibility (SM);Weather;Cloud Layers (ft);Temperature (°F);DewPoint (°F);Relative Humidity (%);Altimeter (inHg);Precipitation (in/hr);Ceilometer Hits;Wind Chill (°F);Heat Index (°F);Lightning Frequency;Lightning Distance (NM);Voltage (V);Mode;Station Pressure (inHg);Pressure Altitude (ft);Density Altitude (ft);Sedimentatary Interference;Full Packet;
300534066581040;METAR 300534066581040 220515Z AUTO 01008G10KT 6SM ///019 M7/M12 A3016 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0515Z;;Weather;53.3075;-60.4006;128;7;7;14;8;12;10;6SM;;1900;18.9;11.1;71;30.16;0;4/4;8;13.8;0; ;4.7;20 Minute;30.02;-98;-2799;OK;@0deN:181:10/10  B:4.70:2:000000:79:000:ZZ  T:26/02/22,05:15:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.3  BA:1016.86:3016  RH:71  WI:8:14:1.5:S  GU:10:12  LD:?:0:--  CL:1cc14:580:580:580:593  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220455Z AUTO 01010G13KT 6SM ///018 ///019 M7/M12 A3016 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0455Z;;Weather;53.3075;-60.4006;128;7;7;9;10;8;13;6SM;;1800, 1900;19.0;11.3;71;30.16;0;4/4;6.8;14;0; ;4.7;20 Minute;30.02;-97;-2799;OK;@0deN:180:10/10  B:4.70:2:000000:79:000:ZZ  T:26/02/22,04:55:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.2  BA:1016.79:3016  RH:71  WI:10:9:1.8:S  GU:13:8  LD:?:0:--  CL:1cc14:568:568:568:555  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220435Z AUTO 02009G13KT 6SM ///017 ///018 ///019 M7/M12 A3016 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0435Z;;Weather;53.3075;-60.4006;128;7;7;15;9;12;13;6SM;;1700, 1800, 1900;18.9;11.1;71;30.16;0;4/4;7.2;13.8;0; ;4.7;20 Minute;30.02;-96;-2799;OK;@0deN:179:10/10  B:4.70:2:000000:79:000:ZZ  T:26/02/22,04:35:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.3  BA:1016.76:3016  RH:71  WI:9:15:1.5:S  GU:13:12  LD:?:0:--  CL:1cc14:568:543:530:568  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220415Z AUTO 03007G09KT 6SM ///019 M7/M12 A3015 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0415Z;;Weather;53.3075;-60.4006;128;7;7;29;7;28;9;6SM;;1900;18.9;11.1;71;30.15;0;4/4;8.8;13.8;0; ;4.8;20 Minute;30.01;-94;-2799;OK;@0deN:178:10/10  B:4.80:2:000000:79:000:ZZ  T:26/02/22,04:15:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.3  BA:1016.71:3015  RH:71  WI:7:29:1.3:S  GU:9:28  LD:?:0:--  CL:1cc14:580:568:568:568  PW:0.00:0:?:--:90:269:269  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220355Z AUTO 03009G13KT 6SM ///019 M8/M12 A3015 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0355Z;;Weather;53.3075;-60.4006;128;7;7;30;9;29;13;6SM;;1900;18.5;10.8;71;30.15;0;4/4;6.8;13.4;0; ;4.8;20 Minute;30.01;-90;-2900;OK;@0deN:177:10/10  B:4.80:2:000000:79:000:ZZ  T:26/02/22,03:55:38  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.5  BA:1016.54:3015  RH:71  WI:9:30:1.3:S  GU:13:29  LD:?:0:--  CL:1cc14:580:568:580:580  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220335Z AUTO 02008G12KT 6SM ///018 ///019 ///020 M8/M12 A3015 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0335Z;;Weather;53.3075;-60.4006;128;7;6;23;8;26;12;6SM;;1800, 1900, 2000;17.8;10.4;72;30.15;0;4/4;6.6;12.6;0; ;4.8;20 Minute;30.01;-89;-2900;OK;@0deN:176:10/10  B:4.80:2:000000:79:000:ZZ  T:26/02/22,03:35:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:6:7:7  TA:-7.9  BA:1016.50:3015  RH:72  WI:8:23:1.3:S  GU:12:26  LD:?:0:--  CL:1cc14:618:618:580:555  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220315Z AUTO 01006G08KT 6SM ///020 ///021 ///022 M8/M12 A3014 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0315Z;;Weather;53.3075;-60.4006;128;7;6;11;6;10;8;6SM;;2000, 2100, 2200;17.4;10.0;72;30.14;0;4/4;8;12.2;0; ;4.8;20 Minute;30;-86;-2900;OK;@0deN:175:10/10  B:4.80:2:000000:79:000:ZZ  T:26/02/22,03:15:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:6:7:7  TA:-8.1  BA:1016.41:3014  RH:72  WI:6:11:0.9:S  GU:8:10  LD:?:0:--  CL:1cc14:668:655:618:605  PW:0.00:0:?:--:90:268:268  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220255Z AUTO 01007KT 6SM ///024 ///025 ///026 M8/M12 A3015 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0255Z;;Weather;53.3075;-60.4006;128;7;7;7;7;6;7;6SM;;2400, 2500, 2600;17.4;10.2;73;30.15;0;4/4;7.1;12.3;0; ;4.8;20 Minute;30.01;-89;-2900;OK;@0deN:174:10/10  B:4.80:2:000000:79:000:ZZ  T:26/02/22,02:55:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-8.1  BA:1016.50:3015  RH:73  WI:7:7:0.9:S  GU:7:6  LD:?:0:--  CL:1cc14:805:780:755:718  PW:0.00:0:?:--:90:267:267  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220235Z AUTO 36006G09KT 6SM ///028 ///029 M8/M12 A3015 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0235Z;;Weather;53.3075;-60.4006;128;7;7;1;6;3;9;6SM;;2800, 2900;17.8;10.4;72;30.15;0;4/4;8.5;12.6;0; ;4.8;20 Minute;30.01;-90;-2900;OK;@0deN:173:10/10  B:4.80:2:000000:79:000:ZZ  T:26/02/22,02:35:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-7.9  BA:1016.55:3015  RH:72  WI:6:1:0.9:S  GU:9:3  LD:?:0:--  CL:1cc14:880:855:868:880  PW:0.00:0:?:--:90:269:269  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
300534066581040;METAR 300534066581040 220215Z AUTO 36004G05KT 6SM ///026 ///029 ///030 M8/M12 A3015 RMK AO2 SLPNO 53.3075° -60.4006°;02/22/2026 0215Z;;Weather;53.3075;-60.4006;128;7;7;357;4;357;5;6SM;;2600, 2900, 3000;17.4;10.0;72;30.15;0;4/4;10.4;12.2;0; ;4.9;20 Minute;30.01;-93;-2900;OK;@0deN:172:10/10  B:4.90:2:000000:79:000:ZZ  T:26/02/22,02:15:39  LA:53.30750  LO:-60.40060  EL:39:z  OR:7:7:7  TA:-8.1  BA:1016.65:3015  RH:72  WI:4:357:0.5:S  GU:5:357  LD:?:0:--  CL:1cc14:793:780:905:880  PW:0.00:0:?:--:90:270:270  VI:6.3  XA:0:0:0:0  XD:0:0:0:0:0  ;
